gvkey,from,thru,conm,co_conm,co_tic
27786,20060303,,S&P 1500 Super Composite,CHESAPEAKE ENERGY CORP,CHK
65609,20000301,,S&P 1500 Super Composite,C H ROBINSON WORLDWIDE INC,CHRW
27981,20000811,,S&P 1500 Super Composite,CHICOS FAS INC,CHS
183963,20140623,,S&P 1500 Super Composite,CHESAPEAKE LODGING TRUST,CHSP
126136,20160908,,S&P 1500 Super Composite,CHARTER COMMUNICATIONS INC,CHTR
187775,20160425,,S&P 1500 Super Composite,CHUY'S HOLDINGS INC,CHUY
2547,19760601,,S&P 1500 Super Composite,CIGNA CORP,CI
64356,20010830,,S&P 1500 Super Composite,CIENA CORP,CIEN
14824,19971218,,S&P 1500 Super Composite,CINCINNATI FINANCIAL CORP,CINF
124775,20081223,,S&P 1500 Super Composite,CIRCOR INTL INC,CIR
186336,20130220,20150401,S&P 1500 Super Composite,C&J ENERGY SERVICES INC,CJ
186336,20180404,,S&P 1500 Super Composite,C&J ENERGY SERVICES INC,CJ
26021,19990330,,S&P 1500 Super Composite,SEACOR HOLDINGS INC,CKH
2953,19970501,20160515,S&P 1500 Super Composite,CHECKPOINT SYSTEMS INC,CKP
3170,19670101,,S&P 1500 Super Composite,COLGATE-PALMOLIVE CO,CL
61759,20170712,,S&P 1500 Super Composite,CORE LABORATORIES NV,CLB
3093,19950210,20170228,S&P 1500 Super Composite,CLARCOR INC,CLC
180635,20120127,,S&P 1500 Super Composite,CLOUD PEAK ENERGY INC,CLD
184688,20170602,,S&P 1500 Super Composite,CHATHAM LODGING TRUST,CLDT
3107,19910601,20150426,S&P 1500 Super Composite,CLEVELAND-CLIFFS INC,CLF
12796,19941001,,S&P 1500 Super Composite,CORELOGIC INC,CLGX
14027,20081028,,S&P 1500 Super Composite,CLEAN HARBORS INC,CLH
30637,20030321,,S&P 1500 Super Composite,MACK-CALI REALTY CORP,CLI
160989,20110503,20170220,S&P 1500 Super Composite,CALAMOS ASSET MANAGEMENT INC,CLMS
28900,20011010,20131001,S&P 1500 Super Composite,COLONIAL PROPERTIES TRUST,CLP
181931,20081217,,S&P 1500 Super Composite,CLEARWATER PAPER CORP,CLW
3121,19690116,,S&P 1500 Super Composite,CLOROX CO/DE,CLX
3231,19910601,,S&P 1500 Super Composite,COMERICA INC,CMA
3246,19941001,,S&P 1500 Super Composite,COMMERCIAL METALS,CMC
3226,20021120,,S&P 1500 Super Composite,COMCAST CORP,CMCSA
3226,20150921,20151213,S&P 1500 Super Composite,COMCAST CORP,CMCSA
2942,20091119,,S&P 1500 Super Composite,CANTEL MEDICAL CORP,CMD
149070,20060811,,S&P 1500 Super Composite,CME GROUP INC,CME
165914,20071029,,S&P 1500 Super Composite,CHIPOTLE MEXICAN GRILL INC,CMG
3650,19670101,,S&P 1500 Super Composite,CUMMINS INC,CMI
13142,20130920,,S&P 1500 Super Composite,CAPSTEAD MORTGAGE CORP,CMO
157153,20101213,,S&P 1500 Super Composite,COMPASS MINERALS INTL INC,CMP
3439,19910601,,S&P 1500 Super Composite,CMS ENERGY CORP,CMS
3358,20050831,,S&P 1500 Super Composite,COMTECH TELECOMMUN,CMTL
145552,20030424,,S&P 1500 Super Composite,CENTENE CORP,CNC
28719,20170103,20170103,S&P 1500 Super Composite,CONDUENT INC,CNDT
177108,20120410,,S&P 1500 Super Composite,CINEMARK HOLDINGS INC,CNK
2859,19910601,20160413,S&P 1500 Super Composite,CLECO CORP,CNL
13623,19991231,,S&P 1500 Super Composite,CONMED CORP,CNMD
12603,20150407,,S&P 1500 Super Composite,CNO FINANCIAL GROUP INC,CNO
5742,19850701,,S&P 1500 Super Composite,CENTERPOINT ENERGY INC,CNP
116787,20070104,20141204,S&P 1500 Super Composite,CONCUR TECHNOLOGIES INC,CNQR
162127,20140819,,S&P 1500 Super Composite,CONSOLIDATED COMM HLDGS INC,CNSL
133547,20061201,20141209,S&P 1500 Super Composite,CONVERSANT INC,CNVR
3416,19760601,20151014,S&P 1500 Super Composite,CON-WAY INC,CNW
120093,20060628,,S&P 1500 Super Composite,CNX RESOURCES CORPORATION,CNX
118121,20010511,20131201,S&P 1500 Super Composite,CORINTHIAN COLLEGES INC,COCOQ
30990,19970602,,S&P 1500 Super Composite,CAPITAL ONE FINANCIAL CORP,COF
20548,19941001,,S&P 1500 Super Composite,CABOT OIL & GAS CORP,COG
3157,20121029,,S&P 1500 Super Composite,COHERENT INC,COHR
3158,20000216,,S&P 1500 Super Composite,COHU INC,COHU
3138,20170316,,S&P 1500 Super Composite,COCA-COLA BTLNG CONS,COKE
144066,20010702,,S&P 1500 Super Composite,ROCKWELL COLLINS INC,COL
25376,20071121,,S&P 1500 Super Composite,COLUMBIA BANKING SYSTEM INC,COLB
16116,20170301,,S&P 1500 Super Composite,CYRUSONE INC,CONE
3504,19971222,,S&P 1500 Super Composite,COOPER COMPANIES INC,COO
8549,19670101,,S&P 1500 Super Composite,CONOCOPHILLIPS,COP
185177,20130509,,S&P 1500 Super Composite,CORESITE REALTY CORP,COR
162876,20150925,,S&P 1500 Super Composite,CORE MARK HOLDING CO INC,CORE
146616,20171227,,S&P 1500 Super Composite,CORCEPT THERAPEUTICS INC,CORT
29028,19931001,,S&P 1500 Super Composite,COSTCO WHOLESALE CORP,COST
12151,20161003,,S&P 1500 Super Composite,COTY INC,COTY
177264,20110301,20150126,S&P 1500 Super Composite,COVIDIEN PLC,COV
2663,19670101,,S&P 1500 Super Composite,CAMPBELL SOUP CO,CPB
15060,20170918,,S&P 1500 Super Composite,CALLON PETROLEUM CO/DE,CPE
16705,20150102,,S&P 1500 Super Composite,CENTRAL PACIFIC FINANCIAL CP,CPF
23827,20150702,20160705,S&P 1500 Super Composite,COLUMBIA PIPELINE GROUP INC,CPGX
163878,20081124,,S&P 1500 Super Composite,CAPELLA EDUCATION CO,CPLA
29901,19991018,,S&P 1500 Super Composite,COPART INC,CPRT
163765,20160811,,S&P 1500 Super Composite,COOPER-STANDARD HOLDINGS INC,CPS
147849,20090304,,S&P 1500 Super Composite,COMPUTER PROGRAMS & SYSTEMS,CPSI
28629,20071130,,S&P 1500 Super Composite,CAMDEN PROPERTY TRUST,CPT
26011,19950331,20141208,S&P 1500 Super Composite,COMPUWARE CORP,CPWR-1
3580,19670101,,S&P 1500 Super Composite,CRANE CO,CR
61350,20160201,,S&P 1500 Super Composite,CRAY INC,CRAY
21431,20141201,20160224,S&P 1500 Super Composite,CALIFORNIA RESOURCES CORP,CRC
27794,20011224,,S&P 1500 Super Composite,CREE INC,CREE
150278,20081103,,S&P 1500 Super Composite,CARTER'S INC,CRI
23002,20081022,20150803,S&P 1500 Super Composite,COMSTOCK RESOURCES INC,CRK
137131,20020904,,S&P 1500 Super Composite,CHARLES RIVER LABS INTL INC,CRL
157855,20080915,,S&P 1500 Super Composite,SALESFORCE-COM INC,CRM
164755,20061002,,S&P 1500 Super Composite,CROCS INC,CROX
62686,20020208,,S&P 1500 Super Composite,CARBO CERAMICS INC,CRR
2787,19910601,,S&P 1500 Super Composite,CARPENTER TECHNOLOGY CORP,CRS
16401,20110509,,S&P 1500 Super Composite,CIRRUS LOGIC INC,CRUS
24225,20081028,,S&P 1500 Super Composite,CORVEL CORP,CRVL
27823,20001110,,S&P 1500 Super Composite,CRYOLIFE INC,CRY
65220,20121101,,S&P 1500 Super Composite,CARRIZO OIL & GAS INC,CRZO
20779,19931201,,S&P 1500 Super Composite,CISCO SYSTEMS INC,CSCO
62266,20000316,,S&P 1500 Super Composite,CSG SYSTEMS INTL INC,CSGS
13032,19941001,20160901,S&P 1500 Super Composite,CASH AMERICA INTL INC,CSH
2771,19910601,,S&P 1500 Super Composite,CARLISLE COS INC,CSL
26304,20151130,20180403,S&P 1500 Super Composite,CSRA INC,CSRA
17699,20130502,20170628,S&P 1500 Super Composite,CST BRANDS INC,CST
2574,19670628,,S&P 1500 Super Composite,CSX CORP,CSX
2811,19960826,20150802,S&P 1500 Super Composite,CASTLE (A M) & CO,CTAM
3062,19910601,,S&P 1500 Super Composite,CINTAS CORP,CTAS
3502,20170213,,S&P 1500 Super Composite,COOPER TIRE & RUBBER CO,CTB
178493,20150709,20160211,S&P 1500 Super Composite,CONSTANT CONTACT INC,CTCT
2884,19910601,,S&P 1500 Super Composite,CENTURYLINK INC,CTL
20228,20150803,,S&P 1500 Super Composite,CATALENT INC,CTLT
19582,20140603,,S&P 1500 Super Composite,CARETRUST REIT INC,CTRE
18291,20170822,,S&P 1500 Super Composite,CONTROL4 CORP,CTRL
2577,19980320,,S&P 1500 Super Composite,CTS CORP,CTS
111864,20040122,,S&P 1500 Super Composite,COGNIZANT TECH SOLUTIONS,CTSH
61676,19980928,,S&P 1500 Super Composite,CITRIX SYSTEMS INC,CTXS
3639,20030121,,S&P 1500 Super Composite,CUBIC CORP,CUB
170396,20160516,,S&P 1500 Super Composite,CUSTOMERS BANCORP INC,CUBI
18838,20170817,20180211,S&P 1500 Super Composite,BARRACUDA NETWORKS INC,CUDA
146648,20171215,,S&P 1500 Super Composite,CUTERA INC,CUTR
3562,20070423,,S&P 1500 Super Composite,COUSINS PROPERTIES INC,CUZ
20019,20120327,,S&P 1500 Super Composite,CVB FINANCIAL CORP,CVBF
2820,20160513,,S&P 1500 Super Composite,CAVCO INDUSTRIES INC,CVCO
64162,19970114,20150218,S&P 1500 Super Composite,COVANCE INC,CVD
20020,20140602,20141216,S&P 1500 Super Composite,CIVEO CORP,CVEO
113419,19990104,,S&P 1500 Super Composite,CONVERGYS CORP,CVG
147708,20091119,,S&P 1500 Super Composite,CALAVO GROWERS INC,CVGW
23877,19941001,20130508,S&P 1500 Super Composite,COVENTRY HEALTH CARE INC,CVH
174077,20090223,,S&P 1500 Super Composite,COMMVAULT SYSTEMS INC,CVLT
7241,19670101,,S&P 1500 Super Composite,CVS HEALTH CORP,CVS
2991,19670101,,S&P 1500 Super Composite,CHEVRON CORP,CVX
3662,20020213,,S&P 1500 Super Composite,CURTISS-WRIGHT CORP,CW
2628,20160308,,S&P 1500 Super Composite,CALIFORNIA WATER SERVICE GP,CWT
64304,20060824,20130623,S&P 1500 Super Composite,COLDWATER CREEK INC,CWTRQ
177884,20160222,,S&P 1500 Super Composite,CONCHO RESOURCES INC,CXO
65084,20080129,,S&P 1500 Super Composite,CORECIVIC INC,CXW
12215,19910601,,S&P 1500 Super Composite,CYPRESS SEMICONDUCTOR CORP,CY
23714,20030331,,S&P 1500 Super Composite,COMMUNITY HEALTH SYSTEMS INC,CYH
63600,20001214,20130602,S&P 1500 Super Composite,CYMER INC,CYMI
3082,19910601,20151101,S&P 1500 Super Composite,CITY NATIONAL CORP,CYN
164664,20130603,20170326,S&P 1500 Super Composite,CYNOSURE INC,CYNO
29511,19941001,20151213,S&P 1500 Super Composite,CYTEC INDUSTRIES INC,CYT
158563,20170424,,S&P 1500 Super Composite,CYTOKINETICS INC,CYTK
4029,19670101,,S&P 1500 Super Composite,DOMINION ENERGY INC,D
29705,20040213,,S&P 1500 Super Composite,DAKTRONICS INC,DAKT
3851,20130911,,S&P 1500 Super Composite,DELTA AIR LINES INC,DAL
3734,20150123,,S&P 1500 Super Composite,DANA INC,DAN
30651,20080530,,S&P 1500 Super Composite,DARLING INGREDIENTS INC,DAR
3946,19910601,,S&P 1500 Super Composite,DIEBOLD NIXDORF INC,DBD
4036,19910601,,S&P 1500 Super Composite,DONALDSON CO INC,DCI
63135,20010829,,S&P 1500 Super Composite,DIME COMMUNITY BANCSHARES,DCOM
176268,20160404,,S&P 1500 Super Composite,DCT INDUSTRIAL TRUST INC,DCT
4087,19670101,20170831,S&P 1500 Super Composite,DU PONT (E I) DE NEMOURS,DD
14898,20120409,,S&P 1500 Super Composite,3D SYSTEMS CORP,DDD
3964,20170228,,S&P 1500 Super Composite,DILLARDS INC  -CL A,DDS
3835,19670101,,S&P 1500 Super Composite,DEERE & CO,DE
22674,20171212,,S&P 1500 Super Composite,EASTERLY GOVERNMENT PPTYS,DEA
29015,20060502,,S&P 1500 Super Composite,DECKERS OUTDOOR CORP,DECK
175307,20150407,,S&P 1500 Super Composite,DOUGLAS EMMETT INC,DEI
64135,20000224,20180220,S&P 1500 Super Composite,DELTIC TIMBER CORP,DEL
65944,20140702,,S&P 1500 Super Composite,DEPOMED INC,DEPO
62655,19981231,,S&P 1500 Super Composite,DEAN FOODS CO,DF
27803,20161003,,S&P 1500 Super Composite,DONNELLEY FINANCIAL SOLTNS,DFIN
177376,20070702,,S&P 1500 Super Composite,DISCOVER FINANCIAL SVCS,DFS
4016,20121203,,S&P 1500 Super Composite,DOLLAR GENERAL CORP,DG
16710,19941001,,S&P 1500 Super Composite,DIGI INTERNATIONAL INC,DGII
64166,20000621,,S&P 1500 Super Composite,QUEST DIAGNOSTICS INC,DGX
25340,19971208,,S&P 1500 Super Composite,D R HORTON INC,DHI
3735,19910601,,S&P 1500 Super Composite,DANAHER CORP,DHR
177943,20120806,,S&P 1500 Super Composite,DHI GROUP INC,DHX
24291,19941001,,S&P 1500 Super Composite,DINE BRANDS GLOBAL INC,DIN
3969,20060201,,S&P 1500 Super Composite,DIODES INC,DIOD
3980,19760601,,S&P 1500 Super Composite,DISNEY (WALT) CO,DIS
164296,20100301,,S&P 1500 Super Composite,DISCOVERY INC,DISCA
164296,20140807,,S&P 1500 Super Composite,DISCOVERY INC,DISCA
60900,20170313,,S&P 1500 Super Composite,DISH NETWORK CORP,DISH
150139,20061120,,S&P 1500 Super Composite,DICKS SPORTING GOODS INC,DKS
31802,20171205,,S&P 1500 Super Composite,DELPHI TECHNOLOGIES PLC,DLPH
160991,20160518,,S&P 1500 Super Composite,DIGITAL REALTY TRUST INC,DLR
31587,19981001,,S&P 1500 Super Composite,DOLLAR TREE INC,DLTR
3863,19860401,,S&P 1500 Super Composite,DELUXE CORP,DLX
163627,20081119,20160229,S&P 1500 Super Composite,DIAMOND FOODS INC,DMND
4094,19791201,,S&P 1500 Super Composite,DUN & BRADSTREET CORP,DNB
174222,20150428,,S&P 1500 Super Composite,DUNKIN' BRANDS GROUP INC,DNKN
20235,20140602,,S&P 1500 Super Composite,NOW INC,DNOW
20653,20050722,,S&P 1500 Super Composite,DENBURY RESOURCES INC,DNR
61409,20090226,,S&P 1500 Super Composite,DIAMOND OFFSHRE DRILLING INC,DO
177982,20100413,20130501,S&P 1500 Super Composite,DOLAN CO,DOLNQ
23753,20130130,,S&P 1500 Super Composite,DORMAN PRODUCTS INC,DORM
4058,19851001,,S&P 1500 Super Composite,DOVER CORP,DOV
21047,20160330,,S&P 1500 Super Composite,DIPLOMAT PHARMACY INC,DPLO
179700,20081007,,S&P 1500 Super Composite,DR PEPPER SNAPPLE GROUP INC,DPS
160211,20130531,,S&P 1500 Super Composite,DOMINO'S PIZZA INC,DPZ
163948,20110603,20150701,S&P 1500 Super Composite,DRESSER-RAND GROUP INC,DRC
13510,20071001,,S&P 1500 Super Composite,DUKE REALTY CORP,DRE
160706,20071109,,S&P 1500 Super Composite,DIAMONDROCK HOSPITALITY CO,DRH
31846,19950530,,S&P 1500 Super Composite,DARDEN RESTAURANTS INC,DRI
113362,20070601,20150216,S&P 1500 Super Composite,DIGITAL RIVER INC,DRIV-1
65671,19990831,,S&P 1500 Super Composite,DRIL-QUIP INC,DRQ
29722,20000825,,S&P 1500 Super Composite,DSP GROUP INC,DSPG
3707,19990706,20180418,S&P 1500 Super Composite,DST SYSTEMS INC,DST
24171,20170329,,S&P 1500 Super Composite,DSW INC,DSW
3897,19670101,,S&P 1500 Super Composite,DTE ENERGY CO,DTE
153813,20090605,20161205,S&P 1500 Super Composite,DTS INC,DTSI
12206,20061204,20150728,S&P 1500 Super Composite,DIRECTV,DTV-2
4093,19760601,,S&P 1500 Super Composite,DUKE ENERGY CORP,DUK
61483,20080731,,S&P 1500 Super Composite,DAVITA INC,DVA
14934,19941001,,S&P 1500 Super Composite,DEVON ENERGY CORP,DVN
160912,20080509,20160825,S&P 1500 Super Composite,DREAMWORKS ANIMATION SKG INC,DWA
4060,19670101,,S&P 1500 Super Composite,DOWDUPONT INC,DWDP
3336,19810501,,S&P 1500 Super Composite,DXC TECHNOLOGY COMPANY,DXC
64223,20130731,,S&P 1500 Super Composite,DXP ENTERPRISES INC,DXPE
4115,19981216,,S&P 1500 Super Composite,DYCOM INDUSTRIES INC,DY
16721,19950522,,S&P 1500 Super Composite,ELECTRONIC ARTS INC,EA
3007,19910601,,S&P 1500 Super Composite,BRINKER INTL INC,EAT
114524,20020722,,S&P 1500 Super Composite,EBAY INC,EBAY
13480,20090212,,S&P 1500 Super Composite,EBIX INC,EBIX
176022,20091110,,S&P 1500 Super Composite,EMERGENT BIOSOLUTIONS INC,EBS
179957,20150402,,S&P 1500 Super Composite,ECHO GLOBAL LOGISTICS INC,ECHO
4213,19890101,,S&P 1500 Super Composite,ECOLAB INC,ECL
1439,20141014,,S&P 1500 Super Composite,US ECOLOGY INC,ECOL
121815,20110728,,S&P 1500 Super Composite,ENCORE CAPITAL GROUP INC,ECPG
3413,19670101,,S&P 1500 Super Composite,CONSOLIDATED EDISON INC,ED
161953,20140722,,S&P 1500 Super Composite,EDUCATION REALTY TRUST INC,EDR
4241,20011011,,S&P 1500 Super Composite,EL PASO ELECTRIC CO,EE
25774,20121128,,S&P 1500 Super Composite,ELECTRONICS FOR IMAGING INC,EFII
4423,19910601,,S&P 1500 Super Composite,EQUIFAX INC,EFX
65021,20140303,,S&P 1500 Super Composite,8X8 INC,EGHT
12413,20120718,,S&P 1500 Super Composite,ENGILITY HOLDINGS INC,EGL
4351,19941001,,S&P 1500 Super Composite,ENERGEN CORP,EGN
122078,20121219,,S&P 1500 Super Composite,NIC INC,EGOV
4193,20050531,,S&P 1500 Super Composite,EASTGROUP PROPERTIES,EGP
19784,20160902,,S&P 1500 Super Composite,EAGLE PHARMACEUTICALS INC,EGRX
12589,20161104,,S&P 1500 Super Composite,ENCOMPASS HEALTH CORP,EHC
174389,20090313,,S&P 1500 Super Composite,EHEALTH INC,EHTH
176591,20090624,,S&P 1500 Super Composite,EMPLOYERS HOLDINGS INC,EIG
9846,19670101,,S&P 1500 Super Composite,EDISON INTERNATIONAL,EIX
61567,20060105,,S&P 1500 Super Composite,LAUDER (ESTEE) COS INC -CL A,EL
24978,19940901,,S&P 1500 Super Composite,CALLAWAY GOLF CO,ELY
12053,19940101,20160907,S&P 1500 Super Composite,EMC CORP/MA,EMC
6223,20011105,,S&P 1500 Super Composite,EMCOR GROUP INC,EME
29392,19940101,,S&P 1500 Super Composite,EASTMAN CHEMICAL CO,EMN
4321,19670101,,S&P 1500 Super Composite,EMERSON ELECTRIC CO,EMR
63645,20070601,,S&P 1500 Super Composite,ENDO INTERNATIONAL PLC,ENDP
152249,20150803,20170328,S&P 1500 Super Composite,ENDURANCE SPECIALTY HOLDINGS,ENH
23083,20150701,,S&P 1500 Super Composite,ENERGIZER HOLDINGS INC,ENR
160893,20111213,,S&P 1500 Super Composite,ENERSYS,ENS
178803,20100727,,S&P 1500 Super Composite,ENSIGN GROUP INC,ENSG
16269,20150729,,S&P 1500 Super Composite,ENANTA PHARMACEUTICALS INC,ENTA
178943,20110701,20150430,S&P 1500 Super Composite,ENTROPIC COMMUNICATIONS INC,ENTR-1
189517,20141113,,S&P 1500 Super Composite,ENOVA INTERNATIONAL INC,ENVA
4418,19941001,20130630,S&P 1500 Super Composite,ENZO BIOCHEM INC,ENZ
16478,20001102,,S&P 1500 Super Composite,EOG RESOURCES INC,EOG
118223,20101110,,S&P 1500 Super Composite,BOTTOMLINE TECHNOLOGIES INC,EPAY
133367,20000404,,S&P 1500 Super Composite,EDGEWELL PERSONAL CARE CO,EPC
64346,20030820,20161002,S&P 1500 Super Composite,EPIQ SYSTEMS INC,EPIQ
65710,20040604,,S&P 1500 Super Composite,EPR PROPERTIES,EPR
138743,20090701,,S&P 1500 Super Composite,EQUINIX INC,EQIX
28733,20011203,,S&P 1500 Super Composite,EQUITY RESIDENTIAL,EQR
4430,20010402,,S&P 1500 Super Composite,EQT CORP,EQT
110382,20070601,20170301,S&P 1500 Super Composite,EQUITY ONE INC,EQY
187766,20130201,,S&P 1500 Super Composite,ERA GROUP INC,ERA
7970,19910601,,S&P 1500 Super Composite,EVERSOURCE ENERGY,ES
23224,20090317,,S&P 1500 Super Composite,ESCO TECHNOLOGIES INC,ESE
31224,20010410,20140930,S&P 1500 Super Composite,ITT EDUCATIONAL SERVICES INC,ESINQ
4274,19971022,,S&P 1500 Super Composite,ELECTRO SCIENTIFIC INDS INC,ESIO
4460,19990302,,S&P 1500 Super Composite,ESTERLINE TECHNOLOGIES CORP,ESL
10981,19991231,,S&P 1500 Super Composite,ESSENDANT INC,ESND
25356,19941001,,S&P 1500 Super Composite,EXPRESS SCRIPTS HOLDING CO,ESRX
30293,20020425,,S&P 1500 Super Composite,ESSEX PROPERTY TRUST,ESS
2270,20120731,,S&P 1500 Super Composite,ENSCO PLC,ESV
63501,19980618,,S&P 1500 Super Composite,E TRADE FINANCIAL CORP,ETFC
23252,19941001,,S&P 1500 Super Composite,ETHAN ALLEN INTERIORS INC,ETH
4199,19670101,,S&P 1500 Super Composite,EATON CORP PLC,ETN
7366,19670101,,S&P 1500 Super Composite,ENTERGY CORP,ETR
4201,19941001,,S&P 1500 Super Composite,EATON VANCE CORP,EV
65967,20020705,,S&P 1500 Super Composite,ENVISION HEALTHCARE CORP,EVHC
174744,20130702,,S&P 1500 Super Composite,EVERCORE INC,EVR
185375,20180214,,S&P 1500 Super Composite,EVERTEC INC,EVTC
133366,20000403,,S&P 1500 Super Composite,EDWARDS LIFESCIENCES CORP,EW
118042,20001108,,S&P 1500 Super Composite,EAST WEST BANCORP INC,EWBC
185584,20141223,20160727,S&P 1500 Super Composite,EXAMWORKS GROUP INC,EXAM
4476,20010906,20170514,S&P 1500 Super Composite,EXAR CORP,EXAR
8539,19670101,,S&P 1500 Super Composite,EXELON CORP,EXC
162449,20120628,,S&P 1500 Super Composite,EXLSERVICE HOLDINGS INC,EXLS
30032,20081117,,S&P 1500 Super Composite,EAGLE MATERIALS INC,EXP
4494,19960103,,S&P 1500 Super Composite,EXPEDITORS INTL WASH INC,EXPD
126296,20071002,,S&P 1500 Super Composite,EXPEDIA GROUP INC,EXPE
23027,20090909,,S&P 1500 Super Composite,EXPONENT INC,EXPO
184323,20150806,,S&P 1500 Super Composite,EXPRESS INC,EXPR
160479,20080102,,S&P 1500 Super Composite,EXTRA SPACE STORAGE INC,EXR
23864,20151104,,S&P 1500 Super Composite,EXTERRAN CORP,EXTN
119574,20180201,,S&P 1500 Super Composite,EXTREME NETWORKS INC,EXTR
24430,20091006,,S&P 1500 Super Composite,EZCORP INC  -CL A,EZPW
4839,19670101,,S&P 1500 Super Composite,FORD MOTOR CO,F
184899,20100602,,S&P 1500 Super Composite,FIRST AMERICAN FINANCIAL CP,FAF
65421,20070817,,S&P 1500 Super Composite,FARO TECHNOLOGIES INC,FARO
14225,19941001,,S&P 1500 Super Composite,FASTENAL CO,FAST
170617,20131223,,S&P 1500 Super Composite,FACEBOOK INC,FB
188255,20111004,,S&P 1500 Super Composite,FORTUNE BRANDS HOME & SECUR,FBHS
16821,19941001,,S&P 1500 Super Composite,FIRST BANCORP P R,FBP
18241,20060403,,S&P 1500 Super Composite,FIRST COMMONWLTH FINL CP/PA,FCF
24157,20070103,,S&P 1500 Super Composite,FIRSTCASH INC,FCFS
62823,20081205,,S&P 1500 Super Composite,FTI CONSULTING INC,FCN
26410,20151110,,S&P 1500 Super Composite,FOUR CORNERS PROPERTY TR INC,FCPT
65643,20020102,20160921,S&P 1500 Super Composite,FAIRCHILD SEMICONDUCTOR INTL,FCS
14590,19950731,,S&P 1500 Super Composite,FREEPORT-MCMORAN INC,FCX
4560,19910601,20150708,S&P 1500 Super Composite,FAMILY DOLLAR STORES,FDO
63172,19990126,,S&P 1500 Super Composite,FACTSET RESEARCH SYSTEMS INC,FDS
4598,19801101,,S&P 1500 Super Composite,FEDEX CORP,FDX
8099,19670101,,S&P 1500 Super Composite,FIRSTENERGY CORP,FE
31881,20010720,20160922,S&P 1500 Super Composite,FEI CO,FEIC
4881,20111020,,S&P 1500 Super Composite,FRANKLIN ELECTRIC CO INC,FELE
287462,20131105,,S&P 1500 Super Composite,FUTUREFUEL CORP,FF
17195,20061116,,S&P 1500 Super Composite,FIRST FINL BANCORP INC/OH,FFBC
29101,20080701,,S&P 1500 Super Composite,FIRST FINL BANKSHARES INC,FFIN
121077,20050314,,S&P 1500 Super Composite,F5 NETWORKS INC,FFIV
4737,19910601,,S&P 1500 Super Composite,FIRST HORIZON NATIONAL CORP,FHN
13824,19960502,,S&P 1500 Super Composite,FAIR ISAAC CORP,FICO
66731,20030416,,S&P 1500 Super Composite,FEDERATED INVESTORS INC,FII
25357,20050314,,S&P 1500 Super Composite,FINISH LINE INC  -CL A,FINL
176556,20100805,20131007,S&P 1500 Super Composite,SOURCEFIRE INC,FIRE
165993,20060202,,S&P 1500 Super Composite,FIDELITY NATIONAL INFO SVCS,FIS
12635,19920701,,S&P 1500 Super Composite,FISERV INC,FISV
4640,19910601,,S&P 1500 Super Composite,FIFTH THIRD BANCORP,FITB
171141,20151221,,S&P 1500 Super Composite,FIVE BELOW INC,FIVE
64997,20090930,,S&P 1500 Super Composite,COMFORT SYSTEMS USA INC,FIX
11584,20040802,,S&P 1500 Super Composite,FOOT LOCKER INC,FL
28477,20020513,,S&P 1500 Super Composite,FLIR SYSTEMS INC,FLIR
4809,20030331,,S&P 1500 Super Composite,FLOWERS FOODS INC,FLO
24611,20150928,,S&P 1500 Super Composite,SPX FLOW INC,FLOW
4818,19800101,,S&P 1500 Super Composite,FLUOR CORP,FLR
4108,19910601,,S&P 1500 Super Composite,FLOWSERVE CORP,FLS
11896,19980501,,S&P 1500 Super Composite,FIRST MIDWEST BANCORP INC,FMBI
4510,19670101,,S&P 1500 Super Composite,FMC CORP,FMC
4678,19941001,20160818,S&P 1500 Super Composite,FIRSTMERIT CORP,FMER
149268,20040517,20130530,S&P 1500 Super Composite,FREEPORT MCMRN OIL&GAS -REDH,FMOG
179583,20140402,,S&P 1500 Super Composite,FABRINET,FN
18049,20110516,,S&P 1500 Super Composite,F N B CORP/FL,FNB
17709,20150723,20170502,S&P 1500 Super Composite,FIRST NBC BANK HOLDING CO,FNBCQ
165264,20061025,20140630,S&P 1500 Super Composite,FIDELITY NATL FINL FNF GROUP,FNF
109683,20060227,20160731,S&P 1500 Super Composite,FIRST NIAGARA FINANCIAL GRP,FNFG
184009,20110728,,S&P 1500 Super Composite,FINANCIAL ENGINES INC,FNGN
126417,20180308,,S&P 1500 Super Composite,FINISAR CORP,FNSR
179077,20071231,20171005,S&P 1500 Super Composite,FORESTAR GROUP INC,FOR
148390,20180312,,S&P 1500 Super Composite,FORMFACTOR INC,FORM
64061,20081219,,S&P 1500 Super Composite,FORRESTER RESEARCH INC,FORR
28118,19990621,,S&P 1500 Super Composite,FOSSIL GROUP INC,FOSL
12886,20041220,,S&P 1500 Super Composite,TWENTY-FIRST CENTURY FOX INC,FOXA
12886,20150921,,S&P 1500 Super Composite,TWENTY-FIRST CENTURY FOX INC,FOXA
18320,20160923,,S&P 1500 Super Composite,FOX FACTORY HOLDING CP,FOXF
30384,20160330,,S&P 1500 Super Composite,FIRST INDL REALTY TRUST INC,FR
187041,20130501,,S&P 1500 Super Composite,FRANCESCAS HOLDINGS CORP,FRAN
12403,20020211,,S&P 1500 Super Composite,FREDS INC,FRED
187833,20160728,,S&P 1500 Super Composite,FIESTA RESTAURANT GROUP INC,FRGI
4605,20071221,,S&P 1500 Super Composite,FEDERAL REALTY INVESTMENT TR,FRT
4843,19910601,20140630,S&P 1500 Super Composite,FOREST LABORATORIES  -CL A,FRX
